
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. MSS_SUBSYSTEM_sb_0, 5814, 11596, 1132, 0, 2, 8, 10, 11, 72
.	. COREAHBTOAPB3_19s_0s, 99, 40, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 24, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 14, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. COREJTAGDEBUG_85_1s, 16, 101, 0, 0, 0, 0, 0, 3, 0
.	.	. uj_jtag_85, 16, 99, 0, 0, 0, 0, 0, 0, 0
.	. CORESPI_Z12, 162, 227, 23, 0, 0, 0, 2, 0, 0
.	.	. spi_8s_4s_4s_7s_0_0_0_0s_0s, 162, 227, 23, 0, 0, 0, 2, 0, 0
.	.	.	. spi_chanctrl_Z11, 103, 120, 11, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_clockmux, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_control_4s, 0, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_fifo_4s_4s_2_0, 12, 10, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_fifo_4s_4s_2_1, 12, 7, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_rf_8s_0, 35, 78, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_Z8, 0, 148, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAPB3_MUXPTOB3, 0, 139, 0, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_19s_0s, 118, 101, 43, 0, 0, 0, 0, 0, 0
.	. CoreTimer_32s_1s_19s_0s_0, 118, 100, 43, 0, 0, 0, 0, 0, 0
.	. MSS_SUBSYSTEM_sb_0_CoreAHBLite_0_CoreAHBLite_Z4, 61, 201, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_1_1_0_192_0_0_0_0s, 61, 201, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_192_0s_0_1_0, 45, 65, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0, 4, 74, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3, 3, 23, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 12, 62, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_0, 11, 16, 0, 0, 0, 0, 0, 0, 0
.	. MSS_SUBSYSTEM_sb_0_CoreAHBLite_1_CoreAHBLite_Z7, 67, 206, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_0_1_0_65536_0_0_0_0s, 67, 206, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_0_1_0_65536_0s_0_1_0, 56, 120, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_ADDRDEC_Z5, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 11, 86, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_1, 10, 51, 0, 0, 0, 0, 0, 0, 0
.	. MSS_SUBSYSTEM_sb_0_CoreGPIO_IN_CoreGPIO_Z9, 56, 9, 0, 0, 0, 0, 0, 0, 0
.	. MSS_SUBSYSTEM_sb_0_CoreGPIO_OUT_CoreGPIO_Z10, 32, 3, 0, 0, 0, 0, 0, 0, 0
.	. MSS_SUBSYSTEM_sb_0_CoreUARTapb_0_CoreUARTapb_Z13, 114, 146, 19, 0, 0, 0, 0, 0, 0
.	.	. MSS_SUBSYSTEM_sb_0_CoreUARTapb_0_COREUART_0s_0s_0s_19s_0s_0s, 90, 118, 19, 0, 0, 0, 0, 0, 0
.	.	.	. MSS_SUBSYSTEM_sb_0_CoreUARTapb_0_Clock_gen_0s_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	. MSS_SUBSYSTEM_sb_0_CoreUARTapb_0_Rx_async_0s_0s_0s_1s_2s_3s, 41, 79, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MSS_SUBSYSTEM_sb_0_CoreUARTapb_0_Tx_async_0s_0s_0s_1s_2s_3s_4s_5s_6s, 21, 23, 5, 0, 0, 0, 0, 0, 0
.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_24576_0_2s_5s_34s_2s, 4838, 10247, 990, 0, 2, 8, 8, 1, 0
.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CORE_RISC_VAHB_TOP, 4838, 10247, 990, 0, 2, 8, 8, 1, 0
.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_COREPLEX_LOCAL_INTERRUPTER_CLINT, 129, 110, 192, 0, 0, 0, 0, 0, 0
.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_DEBUG_TRANSPORT_MODULE_JTAG, 168, 258, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_CHAIN, 32, 32, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN, 32, 32, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN_1, 41, 86, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_JTAG_BYPASS_CHAIN, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_JTAG_TAP_CONTROLLER, 15, 33, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN_2, 5, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_JTAG_STATE_MACHINE, 4, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_90, 4, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_68, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_69, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_70, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_71, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_NEGATIVE_EDGE_LATCH_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_NEGATIVE_EDGE_LATCH_2, 5, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_INT_XING, 8, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_RESET_CATCH_AND_SYNC_1, 3, 1, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_89_1, 3, 1, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_72, 1, 1, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_73, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_33_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_SYNC_ROCKET_TILE_TILE, 1955, 5128, 693, 0, 2, 8, 8, 0, 0
.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_INT_XING_XING, 4, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ROCKET_TILE_ROCKET, 1951, 5128, 693, 0, 2, 8, 8, 0, 0
.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_D_CACHE_DCACHE, 390, 862, 126, 0, 0, 4, 3, 0, 0
.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_AMOALU, 0, 180, 68, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ARBITER, 0, 97, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ARBITER_1, 0, 143, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_D_CACHE_DATA_ARRAY, 11, 22, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TLB, 0, 51, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_FRONTEND_FRONTEND, 576, 969, 54, 0, 0, 4, 3, 0, 0
.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_I_CACHE_ICACHE, 183, 478, 24, 0, 0, 4, 3, 0, 0
.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_SHIFT_QUEUE, 325, 348, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_TLB_1, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. MSS_SUBSYSTEM_sb_0_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ROCKET, 972, 3171, 502, 0, 2, 0, 2, 0, 0
